,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
10,Bangladesh,BGD,5.4,5.7,5.8,6.1,7,7.9,8.1,8.5,8.8,10,10,12,13,13,13,13,14,12.21914633,14,15,12.20411443,15.7490777,16.46583318,16.02477401,17.19900713,17.193589,17.108472,18.69086,21.225703,
11,Barbados,BRB,1.2,1.3,1.3,1.3,1.2,1.3,1,1.4,1.4,1.5,1.6,1.6,1.6,1.6,1.1,1.5,1.4,1.372890131,1.4,1.5,1.4,1.894548284,1.773627162,1.808879,1.581981,1.676749,1.699599,1.551197701,1.66228089,
12,Belarus,BLR,--,--,52,45,37,35,31,28,25,23,20,18,17,20,22,24,25,18.72218395,25,26,21.62930558,25.11392351,23.70521476,21.08294411,21.43540477,17.678352,17.860923,16.814272,18.3591,
13,Belgium,BEL,75.585388,81.178558,82.55924,81.674778,94.789502,95.296441,103.235353,104.122893,105.820375,103.816581,108.121939,107.53091,109.398967,113.730775,115.953738,116.157483,111.667082,111.938784,121.349273,110.987967,117.056344,107.600607,106.462383,111.021887,110.362184,112.489524,115.386721,115.909948,120.260073,115.15108700000002
14,Belize,BLZ,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,0.9,0.8,0.8,0.9,1,1,1.073313812,1,0.5,0.5,0.423049876,0.476432412,0.516362349,0.505700203,0.597846,0.591488,0.676589459,0.577712955,
15,Benin,BEN,0.6,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.7,1.7,1.7,2.1,2.4,2.5,3,3.295630943,3.4,4.5,5.1,4.716966088,4.368430007,4.535651237,4.751106013,5.278207,6.420621,6.619871,6.631707,
16,Bhutan,BTN,0.07744,0.07715,0.08126,0.08108,0.09223,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.171893392,0.2,0.3,0.323057991,0.381013666,0.434420977,0.459001396,0.429118119,0.45724348,0.52496449,0.5701351,0.5701351,
17,Bolivia,BOL,3.3,3.4,3.5,3.4,3.9,4.4,4.4,4.5,5,6.3,6.3,6.1,6.9,6.8,7.2,7.1,7.8,6.172890131,8.1,7.2,8,8.548488478,9.238645607,9.207521756,9.919693004,10.650584,11.011997,11.857834,12.066285,
18,Bosnia and Herzegovina,BIH,--,--,5.3,3.4,3.1,3,2,2,2.3,2.4,3,3,3.1,3.3,3.8,4,3.7,3.660609904,3.9,3.8,4.838649171,4.882621172,4.479675104,4.330383566,4.403228438,4.536242,5.108585,5.008164914,4.845129,
19,Botswana,BWA,0.9,1,1.2,1.1,1.1,1.1,1.1,1.3,1.3,1.3,1.9,1.6,1.5,1.5,1.9,2,2.1,2.143661503,2.2,2.6,2.7,2.757641297,2.754874253,2.979473563,3.085495082,3.4256,3.233526,2.920058816,3.056143816,
20,Brazil,BRA,197,199,192,213,225,243,257,273,271,280,258.5370958,260.6216802,257.1503092,250.1948555,255.8529714,260.37905,261.3055107,272.2420652,285.1226908,289.6834905,303.6838564,322.0879854,340.9090914,352.933481,365.9255096,359.3387163,342.2284974,346.5527526,328.4764347,
21,Bulgaria,BGR,30,19,20,18,20,19,17,15,14,13,14,13,14,13,14,15,15,11,15,14,11.40311303,10.92037263,11.14967479,10.26810305,11.39393192,12.517573,12.657792,12.8070401,13.03321872,
22,Burkina Faso,BFA,0.5,0.6,0.6,0.6,0.7,0.7,0.7,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1.1,1.2,1.347805637,1.4,1.7,1.7,2.120689116,2.453215462,3.050219119,2.860502377,3.711134,3.006024,3.720961857,2.970056033,
23,Burundi,BDI,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.209395776,0.4,0.2,0.2,0.264970514,0.233810047,0.283664742,0.239258433,0.390188,0.468876,0.52089837,0.44352004,
24,Cabo Verde,CPV,0.09635,0.09921,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.3,0.3,0.360745456,0.3,0.4,0.4,1.003405603,0.844979104,0.840027485,0.909728098,0.905513,0.951232,0.997356969,1.001529634,
25,Cambodia,KHM,0.5,0.5,0.5,0.5,0.5,1.4,1.5,1.9,2.1,2.1,2.2,2.5,2.7,3,3.4,3.6,3.9,4.089236749,4.2,4,4.962414048,5.017795423,5.278816874,5.257842498,5.458399137,6.067213,6.906744,7.121152,7.794608,
26,Cameroon,CMR,3.4,3.5,3.6,2.8,3.1,3.1,3,3.1,3.1,3.2,3.3,3.2,3.2,3.4,3.4,3.4,3.8,4.276585321,4.1,4.8,5.4,6.041916501,5.363625332,4.416440359,6.061463355,5.946235,5.507901,5.28505,4.929033,
27,Canada,CAN,254.1939945,242.5236298,252.2428696,253.7500517,257.788887,262.5517917,270.4244221,279.2554388,283.7333794,290.2850639,289.6693716,296.16974,314.2980691,333.2835519,343.7567416,357.8462469,358.8567061,375.5558377,359.3726445,346.1787353,361.9713622,361.3531689,364.9005296,362.3383616,356.3146885,366.7967064,368.6229265,361.3301974,371.1332409,354.04191089999995
28,Central African Republic,CAF,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.354199611,0.3,0.3,0.3,0.39045643,0.401034275,0.404893391,0.408906323,0.415213,0.418203,0.413368647,0.417437019,
29,Chad,TCD,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.297427198,0.3,0.3,0.3,0.327842743,0.316141067,0.334930921,0.333739735,0.957926,0.97189,0.968868791,0.997569791,
30,Chile,CHL,20.905775,21.581802,23.537491,25.805691,27.634957,30.630844,33.231807,35.275031,36.538094,38.326484,35.616556,34.712821,36.564172,37.702428,41.218487,43.073213,43.77893,53.799369,56.634789,53.089212,48.155777,50.06345,50.253331,51.294959,49.084122,49.789722,52.111127,52.204177,53.377308,54.31057
31,China,CHN,335,364,375,426,444,476,482,539,536,572,643,658,693,717,850,889,928,783.5,995,1107,1180.219213,1257.167642,1328.880916,1392.550812,1446.7761,1493.438926,1553.972028,1606.267592,1662.494164,
32,Colombia,COL,26.40311721,27.1346247,30.77743009,31.20992658,31.68026658,29.99596736,31.40278587,33.42676603,31.91941987,30.12025493,30.00560617,29.32896286,29.29643553,28.31067723,30.62963093,29.95016881,31.54931797,30.37301624,31.11968784,30.70595194,32.40495293,38.08637511,41.9020752,43.24057473,43.73765927,44.128775,47.050113,43.875749,45.816049,
33,Comoros,COM,0.07,0.06686,0.06749,0.0675,0.07069,0.08324,0.08346,0.08346,0.08661,0.08661,0.09636,0.09954,0.1,0.1,0.1,0.1,0.1,0.12101908,0.1,0.2,0.1,0.15132232,0.154672246,0.191959712,0.170729892,0.185697,0.218082,0.253686309,0.231873529,
34,Congo-Brazzaville,COG,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.8,0.6,0.6,0.8,0.7,0.9,1,1.1,1.2,1.386826081,1.4,1.7,2.5,2.180008554,2.07884107,2.488601088,2.53044314,2.430184,2.414699,2.03944,1.70713,
35,Congo-Kinshasa,COD,3,3.2,3.7,3.9,2.9,3,3.2,3.1,2.9,2.5,2.1,1.4,1.2,1.2,1.7,1.7,1.7,1.748578384,1.651114179,1.7,2.4,2.779647673,2.674933097,3.984351725,5.402108766,3.137905,2.361898,2.566063454,2.556642454,
36,Costa Rica,CRI,2.6910752,2.837850293,3.577531496,3.935262231,3.998367711,4.592163329,4.340589425,4.465104193,5.04020188,5.509119911,5.391587364,5.321156954,5.437998141,5.535909585,5.326839709,6.177888048,6.656301553,7.222929559,7.14564738,6.743454787,6.961416366,7.080506921,7.03164314,7.314636,7.455906,7.141522,7.721484,7.894798,7.922236742,
37,Croatia,HRV,--,--,9.7,9.6,12,14,12,12,14,14,13,13,14,14,14,14,15,12.30316914,14,13,11.0758518,10.88611214,10.00251593,9.415334533,9.211140732,9.591954,9.526353,10.611656,10.316187,
38,Cyprus,CYP,4.9,5,6,6.1,6.8,6.7,6.7,6.7,7.2,7.8,7.4,8.1,7.9,8,8.5,8.7,9.2,8.825739809,9.7,9.2,8.506922317,8.433691851,7.92339795,6.967086965,7.033255743,7.309827,7.953099,8.197774536,8.225635437,
39,Czech Republic,CZE,--,--,--,24.41758628,24.98731928,22.507045,24.123485,23.761489,25.038721,24.986161,23.615084,25.199283,23.514115,25.057264,27.87632,29.020021,28.371709,28.460982,29.669637,28.500256,28.315467,27.694878,27.531874,26.851926,28.89232,27.438308,24.629889,31.257393,31.478381,32.018240999999996
40,Côte d’Ivoire,CIV,4.6,3.8,3.9,4.4,4.6,4.5,4.7,4.1,3.8,4.4,4.7,3.2,3.3,3.3,3.9,3.9,3.8,3.2,3.4,3.5,3.7,3.350619423,4.731532168,5.543805597,5.971603927,6.345646,6.924189,6.898578,7.057397,
41,Denmark,DNK,29.909273,30.236505,29.959835,31.200389,33.509971,33.009026,33.611178,31.62419,31.610009,31.181622,29.648515,31.315787,28.515937,29.662181,29.24639,28.948285,30.265116,30.297767,28.693959,26.225922,26.214173,25.787376,24.658425,24.579301,24.573901,24.917433,25.281813,25.228668,25.54771,26.442479
42,Djibouti,DJI,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.7,0.982168865,1.7,1.2,1.2,0.642204383,0.851072193,0.913989133,0.926809265,0.817987,0.742559,0.64035796,0.67469826,
43,Dominica,DMA,0.05852,0.05845,0.05909,0.06224,0.07183,0.08101,0.08119,0.08116,0.0843,0.0843,0.07958,0.1,0.1,0.1,0.1,0.0924,0.1,0.121246436,0.1,0.1,0.1,0.170095617,0.169940463,0.161291994,0.171749852,0.18743,0.18855,0.177435879,0.185983702,
44,Dominican Republic,DOM,9,8.7,9.8,8.6,9.7,11,11,12,12,14,16,16,17,16,16,16,16,16.1,16,15,15,16.06265696,16.68131538,16.11864104,15.42936892,17.599679,18.940826,16.850974,19.99625015,
45,Ecuador,ECU,14,14,17,15,17,17,18,18,19,18,18,19,20,20,21,22,24,23.4,25,28,35.514934,35.220785,35.982397,37.379665,40.908733,37.747777,35.724943,33.75358,36.552086,
46,Egypt,EGY,71,69,68,68,70,71,77,81,84,85,80,77,80,81,87,89,93,91.1,96,96,94,110.7391604,112.0678519,119.5218753,128.2817096,128.842568,121.225381,115.411349,109.739597,
47,El Salvador,SLV,2.4,2.8,3.2,3.2,3.6,4.6,4.4,4.7,5.5,5.5,5.5,5.7,5.8,6.1,6,6.2,6.2,6.2,5.9,5.9,5.9,6.400534836,6.557031794,6.267014492,6.439962738,6.885362,6.927231,6.310517,7.044276,
48,Equatorial Guinea,GNQ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.233968033,0.3,0.5,0.7,0.74595765,0.725720922,0.748097712,0.747252439,0.735235,0.752646,1.0748218,1.488709079,
49,Estonia,EST,--,--,5.117977,5.380994,4.935003,3.829567,4.174598,4.121684,4.055676,3.756624,3.128766,3.572471,3.703456,3.580636,3.737662,3.772474,4.028735,4.31798,4.247266,3.7194,3.966148,3.875526,4.691533,4.564372,4.265394,4.318708,4.328328,4.389655,4.447382,4.284025
50,Eswatini,SWZ,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.656187559,0.6,0.7,0.7,0.700708372,0.69791521,0.727409485,0.753466931,0.787861,0.875217,0.860772853,0.863631816,
51,Ethiopia,ETH,3,2.5,3.6,3.3,2.2,2.4,1.7,1.7,2.6,3.3,3.5,3.6,3.9,4.2,4.3,4.6,5.2,5.6,6.4,7,6.5,6.917992642,7.209816966,8.748884966,9.914503869,10.619113,12.0749,11.8621819,12.73339586,
52,Fiji,FJI,1,0.8,0.9,0.9,0.9,1,1.1,1.1,1,1.1,1.4,1.5,1.7,2.2,2.6,2.5,2.3,2.52904579,2.3,1.4,1.069934284,2.110557137,1.150712234,1.459271717,1.914142212,2.417886221,2.355120113,2.385453454,2.368067017,
53,Finland,FIN,36.26338652,35.617884,34.069898,31.95631,33.550272,32.82324776,32.728642,32.131228,33.400214,33.6342,33.516366,33.571377,34.359296,34.898386,34.389674,34.233911,34.829691,35.819694,34.490539,32.691652,33.681773,33.353809,31.639949,32.882815,32.017058,32.344826,33.187526,32.585557,33.014091,32.190015
54,France,FRA,294.5859429,310.5862229,317.2676113,302.4818383,303.3196567,313.9147071,320.9008643,322.1672333,330.0222172,330.8065622,326.6706879,329.317993,318.1777647,323.7136489,325.4157963,323.9422294,323.7036382,318.8909333,313.4268977,296.9137816,289.8063352,291.1978513,285.5533487,275.2561486,273.8933926,272.3241267,266.2218866,270.4349693,258.0215396,258.65653
55,Gabon,GAB,2.4,2.3,2.4,2.3,2.4,2,2.1,2.2,2.1,2,1.8,1.8,1.7,1.8,1.8,1.8,2.1,2.214351927,2.6,2.2,2.842256,3.051117,3.072911,3.354363,3.25915,3.296102,3.30557,3.236181,2.563767,
56,"Gambia, The",GMB,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.457456946,0.4,0.4,0.5,0.531155455,0.511167994,0.516049014,0.573964564,0.587984,0.592758,0.5900981,0.5941987,
57,Georgia,GEO,--,--,4.3,2.5,1.1,1.2,2.1,2.2,2.3,2.5,2.2,1.7,1.6,1.6,1.7,1.9,2.1,2.137004305,2.1,2.7,2.911861776,3.072104586,3.058405971,3.136058049,3.307601814,3.731459,4.527405,4.191488,4.143585085,
58,Germany,DEU,--,476.258297,478.839642,486.761351,479.066661,479.909954,488.817214,489.321331,494.571036,480.829344,488.507745,489.473686,476.026314,473.220232,473.064123,468.513834,466.440556,429.143218,444.398482,426.633362,439.057058,426.242374,427.561649,435.37811,429.042295,426.173716,420.322853,426.944723,393.286319,398.863712
59,Ghana,GHA,3,3,3.4,3.5,3.9,4,4.1,3.8,3.8,4.5,5.3,5.2,5.5,5.9,6.5,6.5,6.7,6.675884551,7.4,7.5,9.1,9.326884494,10.32532644,10.92800641,10.91128986,11.646753,12.598988,10.817419,12.4810759,
60,Greece,GRC,50.296888,50.925064,52.159062,53.675939,54.922966,57.34558,59.492753,60.553125,62.978291,61.20932,64.275266,65.179685,65.935865,68.887067,68.223765,68.862704,72.262387,74.621112,69.999419,65.582889,61.11847,57.519885,51.762021,48.379787,48.591864,50.35556,50.918888,51.42268,51.143866,52.598681000000006
61,Grenada,GRD,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.231333533,0.3,0.3,0.3,0.274632336,0.286340167,0.323327348,0.271059272,0.289772,0.298309,0.32244384,0.317136381,
62,Guatemala,GTM,3.8,3.6,4.4,4.8,5.4,6.1,6.3,7,8.5,8.7,8.6,9.5,9.3,9.4,9.8,10,10,10.41457195,9.9,11,9.6,9.865846354,10.01434026,10.06127515,10.59550985,12.133803,12.61943,13.291494,14.41823,
63,Guinea,GIN,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.4,1.4,1.338244321,1.3,1.4,1.4,2.836534427,2.580964507,2.334176295,2.433724809,2.767085,3.084621,2.993960718,2.980732599,
64,Guinea-Bissau,GNB,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.320253741,0.5,0.4,0.4,0.333377776,0.322217541,0.360466395,0.374162768,0.408674,0.425613,0.340882931,0.341846886,
65,Guyana,GUY,0.7,0.8,0.9,1.2,1.2,1,1,1.1,1.4,1.5,1.7,1.7,1.8,1.7,1.5,1.7,1.6,1.519155927,1.5,1.6,1.6,1.841371515,2.080137006,2.028611814,2.028761361,2.099613,2.361872,2.281382873,2.321942783,
66,Haiti,HTI,0.7,0.7,0.8,0.6,0.5,0.9,1.1,1.4,1.3,1.5,1.5,1.7,1.7,1.7,1.7,1.8,1.8,1.965478346,2,2.2,2.1,2.224320918,2.418779249,2.602297893,2.866673923,3.316061,3.357186,3.357510686,3.45641014,
67,Honduras,HND,2.7,2.7,2.7,2.7,3,3.5,3.9,3.8,4.4,4.6,4.3,5,5.6,5.6,6.6,6.8,7.1,7.979675668,7.5,6.8,7.1,7.295769056,7.892653777,7.927813826,8.586795867,9.267142,8.736444,8.704850987,10.003464,
68,Hungary,HUN,28.323821,26.672853,27.726084,26.78387,26.461742,24.73336,23.409506,24.779064,25.21901,24.680131,23.56576252,23.15239252,23.95170176,23.427233,23.150688,27.135491,28.006211,29.32374,28.795791,27.790816,26.59424,25.93177776,23.552642,23.463555,24.863724,26.622425,26.551073,28.163345,30.109049,29.499874
69,Iceland,ISL,1.977366034,1.872991034,2.073557034,2.015480034,2.056782034,2.136066034,2.397096034,2.330438069,2.344450069,2.348141069,2.3832,2.252786,2.379493,2.382795069,2.467418,2.501041,2.614077069,2.606443,2.395015,2.309632103,2.139057,2.116861,2.126963,2.300143,2.544373069,2.589325103,2.895845069,3.175025,3.432809,2.597807
70,India,IND,160,162,174,179,194,217,229,241,257,268,286,293,302,302,325,321,349,373,387,402,417,422,449,454,472,512,578.794597,596.3309729,615.0922265,624.2634114
71,Indonesia,IDN,95,100,106,113,114,117,127,141,136,145,154,157,166,167,175,184,175,166.3,177,182,201.2506818,208.7681164,217.3362093,212.7822713,215.1201245,200.5892019,199.2569137,206.8681394,224.4631057,
72,Ireland,IRL,13.865956,15.154481,15.413867,15.905515,17.687705,18.249678,18.63911,21.001788,23.407238,26.279235,27.018496,29.331266,28.175078,27.726438,28.667389,30.273443,31.478615,30.654023,29.689867,25.000682,24.585365,21.232244,20.480425,20.654427,21.024414,21.949994,22.807865,23.039391,24.076933,24.105816
73,Israel,ISR,28.211567,28.529603,28.208615,30.642908,32.855723,35.319028,34.201001,36.091318,37.675432,38.814416,41.572545,38.794392,40.456081,41.412592,42.339612,38.663254,39.679891,41.153,39.651512,35.943679,37.536627,36.715405,43.491718,37.598627,33.575607,35.813882,35.715388,36.929401,37.112301,37.872782
74,Italy,ITA,326.313674,321.806939,324.037129,322.393959,318.283952,334.638361,328.496411,330.170654,328.867879,312.44933,311.436226,304.25219,311.88443,313.351882,298.008769,294.052458,291.944456,282.631738,275.074665,254.828315,249.723483,242.341969,219.899429,198.04649,199.331328,205.031178,195.971213,202.605981,208.393645,197.25490200000002
75,Jamaica,JAM,7.4,7.7,8.4,8.5,8.7,9.8,9.9,10,11,11,11,11,11,11,11,11,13,13.2,12,9.2,8,8.392492887,7.804376542,8.584252984,8.397359441,8.286742,8.689486,7.20741482,7.714818985,
76,Japan,JPN,932.145214,946.267637,964.507556,937.9975,1001.20319,1006.751653,1008.988296,1006.386963,957.489442,989.87106,964.408184,931.929897,917.244696,946.980376,932.124258,937.636945,917.104035,895.536646,858.985159,761.746955,785.237987,796.93784,848.988819,821.828773,773.149502,762.706477,729.341346,711.080976,680.054576,658.609313
77,Jordan,JOR,9.9,9.4,11,11,12,13,14,13,14,15,15,15,15,16,15,16,16,14.5,14,14,15,19.8802385,21.73069593,20.24773,22.79327,19.028106,15.893388,16.944706,15.54388356,
78,Kazakhstan,KAZ,--,--,63,52,45,40,37,33,30,27,29,30,31,29,32,33,33,31.2,34,30,31.19903165,36.43915978,33.8723555,34.81033963,34.03137706,41.72495,44.843697,43.742177,42.999412,
79,Kenya,KEN,6.3,5.5,6.1,6.3,6.7,6.9,7.3,6.7,7.7,7.9,8.5,7.8,7.7,8.1,9,9.9,11,10.7,11,11,12,13.12903053,11.87251476,13.12896691,13.22259285,15.541922,16.789936,16.670611,17.221016,
80,Kyrgyzstan,KGZ,--,--,4.8,2.9,1.3,1.7,1.8,1.5,2.1,1.7,1.6,1.3,1.4,1.4,1.8,1.9,1.9,1.9,2.1,5,3.799276981,4.02646163,5.126303352,5.159083083,4.64976207,4.973226,5.51507,4.901844,5.477868,
81,Laos,LAO,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.373842232,0.4,0.4,2.16325989,2.231952936,2.501036127,2.554295163,2.64770651,2.608553642,3.099584348,3.174937607,3.521944724,
82,Latvia,LVA,--,--,8.372326,7.884384,7.782441,6.085622,6.367404,5.42726,4.994464,4.590125,3.60322,4.390735,4.472403,4.688266,4.904854,5.062942,5.240936,5.537303,5.348335,5.176657,5.491163,4.885224,4.846264,4.874959,4.891886,5.150107,5.342321,5.490165,4.982035,5.512968
83,Lebanon,LBN,4.7,8.2,8.2,10,11,12,13,15,15,15,16,15,16,16,15,15,13,11.90316914,14,19,18,18.77987319,20.90140066,20.579876,22.172136,24.110338,25.071077,26.624618,25.08802974,
84,Lesotho,LSO,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.238412507,0.2,0.2,0.6,0.56901386,0.603890133,0.616832425,0.643414734,0.634217,0.681386,0.850365255,0.736309374,
85,Liberia,LBR,0.6,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.746164258,0.7,0.6,0.5,0.917673131,0.988485943,0.900916034,1.187724076,1.197167,1.37903,1.184611,1.34566552,
86,Lithuania,LTU,--,--,14.00295031,12.61408375,11.5752435,10.2437559,11.02840069,10.7950994,12.201054,9.538341,7.620407,8.60274,8.339512,7.968292,8.612252,9.086343,8.974971,9.136512,9.98855,9.14312,8.993446,8.674612,8.912893,8.676824,8.569816,9.337599,10.066433,10.390847,10.816412,10.808947
87,Luxembourg,LUX,4.938266,5.763747762,5.961349762,5.914629762,5.915646762,5.455570762,5.651870762,5.942391762,6.166951762,6.567299762,7.174596,7.634275762,7.794114762,8.368286762,9.483149762,9.726208,9.249357762,9.095299762,9.233986261,8.569571523,8.961258523,9.260631023,8.946934023,8.747491762,8.574904261,8.484048023,8.380142261,8.924417,9.478976,9.615072999999999
88,Madagascar,MDG,0.9,1,1,1.1,1.2,1.3,1.3,1.3,1.3,1.3,1.8,2,2.3,2.4,2.6,2.5,2.5,2.606779495,2.8,1.8,1.8,2.136696106,2.295470567,2.276790236,2.506170739,2.868627,3.152477,2.577085333,2.472962905,
89,Malawi,MWI,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1,0.811398864,1.1,0.8,0.8,0.891072661,0.844843494,0.912132658,0.92038829,0.853078,1.006885,1.099295552,1.049350123,
90,Malaysia,MYS,39,41,43,47,53,56,62,63,62,65,66.31702072,70.05893122,70.96466774,69.50391715,74.40109473,73.35866034,73.72400371,86.25894933,81.69979412,81.43962082,77.55616884,85.22663329,85.01865125,97.20945981,98.65302456,93.908565,95.903742,96.822442,94.520808,
91,Maldives,MDV,0.09766,0.09766,0.1,0.1,0.2,0.3,0.4,0.3,0.3,0.3,0.5,0.5,1,1.1,0.8,0.6,0.8,0.934580037,0.9,1.1,1.10978641,1.198751512,1.523701229,1.596596488,2.140652498,1.614304113,1.707060439,1.776246574,1.75130151,
92,Mali,MLI,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.670014525,0.7,0.7,0.7,2.374237358,2.467279852,2.722025338,2.919398204,3.166486,3.120804,3.107565981,3.128248481,
93,Malta,MLT,1.6,1.8,2,2.1,2.3,2.4,2.6,2.8,2.9,3.3,2.9,2.5,2.9,2.9,3,3.1,2.9,3.138248823,3.2,6.7,7.672055726,7.288171101,6.929108332,6.575666318,6.705638712,7.052496,7.500594,8.239269,8.531973,
94,Mauritania,MRT,0.9,1,3.3,3.4,3.4,3.1,3.5,3.2,3.2,3.2,3.2,3.2,3.1,3.2,2.6,3.2,2.8,2.497262726,2.8,1.9,1.9,2.264922292,2.44886848,2.206456436,2.684586018,2.664858,2.481465,3.8723599,3.45971254,
95,Mauritius,MUS,1.7,1.7,2,2.1,2.1,2.3,2.3,2.3,2.4,2.4,3,3.2,2.9,3,3.2,3.2,3.3,3.306338272,3.4,3,3.4,3.853028345,3.766876371,3.815702653,3.934904596,4.096318,4.235415,4.711863,4.984221,
